X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.38788833,48.16601667,0,0,183,400,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387895,48.165955,0,0,184,399,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38789833,48.16589,0,0,185,398,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38790667,48.16583,0,0,186,398,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38791833,48.16577,0,0,187,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38792667,48.16571,0,0,188,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38793333,48.16565,0,0,189,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38794333,48.16559,0,0,190,396,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38795333,48.16553,0,0,191,396,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387965,48.16547,0,0,192,396,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38797667,48.16541167,0,0,193,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38798667,48.16535833,0,0,194,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387995,48.1653,0,0,195,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.388005,48.16524167,0,0,196,397,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38801333,48.16517833,0,0,197,398,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38801833,48.16512,0,0,198,399,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38802333,48.16506,0,0,199,400,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38803,48.16500167,0,0,200,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.388035,48.16494333,0,0,201,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38804,48.16488667,0,0,202,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38804,48.16483167,0,0,203,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38803833,48.164775,0,0,204,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38803333,48.16472,0,0,205,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38803,48.164665,0,0,206,404,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38801833,48.16461,0,0,207,405,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38799833,48.164555,0,0,208,406,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38797833,48.1645,0,0,209,407,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38795667,48.16444667,0,0,210,407,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38792667,48.16439833,0,0,211,408,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38788833,48.16435333,0,0,212,408,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38784333,48.164305,0,0,213,408,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38780833,48.16425667,0,0,214,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387765,48.16421,0,0,215,410,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38771667,48.164165,0,0,216,410,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387665,48.16412,0,0,217,410,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38761,48.16407667,0,0,218,410,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387555,48.16403333,0,0,219,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38750333,48.16398667,0,0,220,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38745667,48.16393833,0,0,221,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387415,48.16388833,0,0,222,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38738333,48.16383833,0,0,223,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38735833,48.16378667,0,0,224,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38734167,48.163735,0,0,225,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38732833,48.16368,0,0,226,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38731833,48.163625,0,0,227,409,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38731167,48.16357,0,0,228,410,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387305,48.16351667,0,0,229,411,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.3873,48.16346167,0,0,230,412,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38729667,48.16340667,0,0,231,413,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38729333,48.16335,0,0,232,414,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387295,48.163295,0,0,233,415,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38729667,48.16324,0,0,234,415,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.3873,48.16318333,0,0,235,415,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38731167,48.16313167,0,0,236,416,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38732333,48.16307833,0,0,237,416,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387335,48.16302333,0,0,238,416,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38735167,48.16296833,0,0,239,416,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38736833,48.16291333,0,0,240,416,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38738333,48.16286,0,0,241,416,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
